app_id,app_date,amount,rate_offered,term_months,status,payment_date,segment
APP-000001,2023-05-04 00:00:00,9000.0,0.1461,24,Paid,2025-05-05 00:00:00,1
APP-000002,2024-01-12 00:00:00,7700.0,0.1647,48,Default,,0
APP-000003,2024-08-09 00:00:00,9300.0,0.1501,48,Paid,2028-08-12 00:00:00,1
APP-000004,2024-03-18 00:00:00,11000.0,0.1855,48,Paid,2028-03-21 00:00:00,2
APP-000005,2023-02-05 00:00:00,7500.0,0.2399,36,Default,,3
APP-000006,2025-04-12 00:00:00,7500.0,0.1414,24,Paid,2027-04-14 00:00:00,0
APP-000007,2023-01-13 00:00:00,11200.0,0.23,24,Paid,2025-01-14 00:00:00,2
APP-000008,2023-10-01 00:00:00,9500.0,0.1409,48,Paid,2027-10-04 00:00:00,1
APP-000009,2023-12-22 00:00:00,7100.0,0.1376,36,Paid,2026-12-24 00:00:00,0
APP-000010,2024-05-23 00:00:00,9100.0,0.2209,36,Paid,2027-05-26 00:00:00,2
APP-000011,2023-03-29 00:00:00,7100.0,0.2261,36,Default,,3
APP-000012,2023-04-05 00:00:00,7100.0,0.2226,36,Paid,2026-04-07 00:00:00,3
APP-000013,2023-02-08 00:00:00,8500.0,0.1142,36,Paid,2026-02-10 00:00:00,1
APP-000014,2025-03-13 00:00:00,4200.0,0.1567,36,Paid,2028-03-15 00:00:00,0
APP-000015,2025-06-11 00:00:00,4600.0,0.2211,36,Paid,2028-06-13 00:00:00,3
APP-000016,2024-11-05 00:00:00,6900.0,0.1821,48,Paid,2028-11-08 00:00:00,0
APP-000017,2022-11-04 00:00:00,6000.0,0.1263,24,Default,,0
APP-000018,2023-11-22 00:00:00,8600.0,0.2029,36,Default,,2
APP-000019,2023-04-19 00:00:00,6200.0,0.1443,36,Default,,0
APP-000020,2023-01-05 00:00:00,5200.0,0.2697,48,Paid,2027-01-08 00:00:00,3
APP-000021,2022-11-19 00:00:00,10900.0,0.2572,36,Paid,2025-11-21 00:00:00,2
APP-000022,2023-12-11 00:00:00,7500.0,0.2102,36,Paid,2026-12-13 00:00:00,3
APP-000023,2023-11-20 00:00:00,8100.0,0.2481,36,Paid,2026-11-22 00:00:00,3
APP-000024,2023-09-17 00:00:00,5200.0,0.1832,36,Paid,2026-09-19 00:00:00,0
APP-000025,2023-07-17 00:00:00,6900.0,0.2183,48,Paid,2027-07-20 00:00:00,3
APP-000026,2023-10-02 00:00:00,8200.0,0.2539,48,Default,,3
APP-000027,2022-08-20 00:00:00,5700.0,0.1923,36,Paid,2025-08-22 00:00:00,3
APP-000028,2024-10-09 00:00:00,8800.0,0.1672,36,Paid,2027-10-12 00:00:00,1
APP-000029,2024-12-29 00:00:00,6800.0,0.0948,24,Paid,2026-12-31 00:00:00,0
APP-000030,2023-10-05 00:00:00,7400.0,0.1758,36,Paid,2026-10-07 00:00:00,0
APP-000031,2024-02-10 00:00:00,6800.0,0.2212,36,Paid,2027-02-12 00:00:00,3
APP-000032,2023-02-08 00:00:00,11700.0,0.2273,36,Paid,2026-02-10 00:00:00,2
APP-000033,2023-12-16 00:00:00,8000.0,0.2052,24,Paid,2025-12-17 00:00:00,3
APP-000034,2024-12-06 00:00:00,5900.0,0.1529,48,Default,,0
APP-000035,2024-04-30 00:00:00,9600.0,0.0812,36,Paid,2027-05-03 00:00:00,1
APP-000036,2022-10-04 00:00:00,5600.0,0.1552,36,Paid,2025-10-06 00:00:00,0
APP-000037,2023-03-30 00:00:00,8400.0,0.1648,24,Paid,2025-03-31 00:00:00,1
APP-000038,2022-08-09 00:00:00,4100.0,0.1644,36,Paid,2025-08-11 00:00:00,0
APP-000039,2023-09-30 00:00:00,5300.0,0.2109,48,Paid,2027-10-03 00:00:00,3
APP-000040,2024-10-24 00:00:00,8400.0,0.2793,36,Paid,2027-10-27 00:00:00,3
APP-000041,2023-07-14 00:00:00,9500.0,0.1862,36,Paid,2026-07-16 00:00:00,2
APP-000042,2023-10-27 00:00:00,8300.0,0.1692,24,Paid,2025-10-28 00:00:00,1
APP-000043,2024-02-14 00:00:00,7800.0,0.167,36,Paid,2027-02-16 00:00:00,0
APP-000044,2024-08-06 00:00:00,7400.0,0.1862,48,Paid,2028-08-09 00:00:00,3
APP-000045,2023-08-29 00:00:00,5000.0,0.1386,36,Paid,2026-08-31 00:00:00,0
APP-000046,2024-07-04 00:00:00,6600.0,0.186,48,Paid,2028-07-07 00:00:00,0
APP-000047,2023-11-09 00:00:00,7100.0,0.2025,48,Paid,2027-11-12 00:00:00,3
APP-000048,2023-10-30 00:00:00,10100.0,0.1905,48,Paid,2027-11-02 00:00:00,2
APP-000049,2025-01-29 00:00:00,8700.0,0.2029,48,Paid,2029-02-01 00:00:00,2
APP-000050,2023-11-10 00:00:00,4500.0,0.2017,24,Paid,2025-11-11 00:00:00,3
APP-000051,2023-04-10 00:00:00,8600.0,0.0914,48,Default,,1
APP-000052,2023-05-27 00:00:00,7200.0,0.2118,24,Paid,2025-05-28 00:00:00,3
APP-000053,2023-03-07 00:00:00,6600.0,0.1464,24,Paid,2025-03-08 00:00:00,0
APP-000054,2025-06-03 00:00:00,9200.0,0.1252,24,Paid,2027-06-05 00:00:00,1
APP-000055,2024-03-14 00:00:00,10100.0,0.1248,36,Paid,2027-03-17 00:00:00,1
APP-000056,2025-05-21 00:00:00,9900.0,0.2017,36,Paid,2028-05-23 00:00:00,2
APP-000057,2023-03-15 00:00:00,6300.0,0.1689,36,Default,,0
APP-000058,2025-05-21 00:00:00,7400.0,0.0959,24,Paid,2027-05-23 00:00:00,1
APP-000059,2025-01-28 00:00:00,8700.0,0.2039,36,Default,,2
APP-000060,2023-09-14 00:00:00,10000.0,0.108,36,Paid,2026-09-16 00:00:00,1
APP-000061,2023-05-14 00:00:00,7000.0,0.187,48,Paid,2027-05-17 00:00:00,3
APP-000062,2023-07-22 00:00:00,7600.0,0.1919,36,Default,,3
APP-000063,2024-01-06 00:00:00,5800.0,0.2243,24,Paid,2026-01-07 00:00:00,3
APP-000064,2023-03-07 00:00:00,5600.0,0.2691,36,Paid,2026-03-09 00:00:00,3
APP-000065,2022-10-17 00:00:00,9600.0,0.1118,36,Default,,1
APP-000066,2023-01-29 00:00:00,10700.0,0.1774,36,Default,,2
APP-000067,2023-12-29 00:00:00,7900.0,0.1662,36,Paid,2026-12-31 00:00:00,0
APP-000068,2025-05-12 00:00:00,10000.0,0.2017,36,Paid,2028-05-14 00:00:00,2
APP-000069,2023-03-13 00:00:00,8700.0,0.1908,36,Paid,2026-03-15 00:00:00,2
APP-000070,2025-02-23 00:00:00,6700.0,0.1624,36,Paid,2028-02-26 00:00:00,0
APP-000071,2023-12-13 00:00:00,8700.0,0.158,48,Paid,2027-12-16 00:00:00,1
APP-000072,2024-10-06 00:00:00,11100.0,0.1242,24,Default,,1
APP-000073,2025-03-13 00:00:00,7900.0,0.2294,48,Paid,2029-03-16 00:00:00,3
APP-000074,2023-12-26 00:00:00,11100.0,0.203,36,Paid,2026-12-28 00:00:00,2
APP-000075,2023-09-18 00:00:00,2800.0,0.2259,24,Paid,2025-09-19 00:00:00,3
APP-000076,2023-04-18 00:00:00,9600.0,0.1645,48,Paid,2027-04-21 00:00:00,1
APP-000077,2025-02-16 00:00:00,8200.0,0.1472,48,Paid,2029-02-19 00:00:00,1
APP-000078,2024-08-20 00:00:00,7400.0,0.1261,36,Paid,2027-08-23 00:00:00,0
APP-000079,2025-02-16 00:00:00,8200.0,0.1979,36,Paid,2028-02-19 00:00:00,2
APP-000080,2025-02-19 00:00:00,4000.0,0.128,36,Paid,2028-02-22 00:00:00,0
APP-000081,2024-01-18 00:00:00,7600.0,0.2724,36,Paid,2027-01-20 00:00:00,3
APP-000082,2022-09-06 00:00:00,8700.0,0.1146,24,Paid,2024-09-07 00:00:00,1
APP-000083,2024-10-01 00:00:00,11000.0,0.1937,48,Paid,2028-10-04 00:00:00,2
APP-000084,2024-09-16 00:00:00,7000.0,0.2583,48,Paid,2028-09-19 00:00:00,3
APP-000085,2024-09-20 00:00:00,6400.0,0.21,24,Paid,2026-09-22 00:00:00,3
APP-000086,2022-11-21 00:00:00,7000.0,0.1888,48,Paid,2026-11-24 00:00:00,3
APP-000087,2025-03-01 00:00:00,9800.0,0.1316,36,Paid,2028-03-03 00:00:00,1
APP-000088,2023-05-06 00:00:00,8700.0,0.1109,24,Paid,2025-05-07 00:00:00,1
APP-000089,2025-05-19 00:00:00,6900.0,0.2185,36,Default,,3
APP-000090,2022-10-12 00:00:00,9000.0,0.2553,36,Paid,2025-10-14 00:00:00,2
APP-000091,2024-02-15 00:00:00,8200.0,0.1581,48,Paid,2028-02-18 00:00:00,1
APP-000092,2025-03-31 00:00:00,9900.0,0.123,48,Paid,2029-04-03 00:00:00,1
