app_id,app_date,amount,rate_offered,term_months,status,payment_date,credit_score,risk_segment
APP-000001,2023-05-04,9000.0,0.1461,24,Paid,2025-05-05,684,Near-Prime
APP-000002,2024-01-12,7700.0,0.1647,48,Default,,653,Subprime
APP-000003,2024-08-09,9300.0,0.1501,48,Paid,2028-08-12,692,Near-Prime
APP-000004,2024-03-18,11000.0,0.1855,48,Paid,2028-03-21,736,Near-Prime
APP-000005,2023-02-05,7500.0,0.2399,36,Default,,648,Subprime
APP-000006,2025-04-12,7500.0,0.1414,24,Paid,2027-04-14,648,Subprime
APP-000007,2023-01-13,11200.0,0.23,24,Paid,2025-01-14,738,Near-Prime
APP-000008,2023-10-01,9500.0,0.1409,48,Paid,2027-10-04,698,Near-Prime
APP-000009,2023-12-22,7100.0,0.1376,36,Paid,2026-12-24,636,Subprime
APP-000010,2024-05-23,9100.0,0.2209,36,Paid,2027-05-26,687,Near-Prime
APP-000011,2023-03-29,7100.0,0.2261,36,Default,,636,Subprime
APP-000012,2023-04-05,7100.0,0.2226,36,Paid,2026-04-07,636,Subprime
APP-000013,2023-02-08,8500.0,0.1142,36,Paid,2026-02-10,672,Subprime
APP-000014,2025-03-13,4200.0,0.1567,36,Paid,2028-03-15,564,Subprime
APP-000015,2025-06-11,4600.0,0.2211,36,Paid,2028-06-13,573,Subprime
APP-000016,2024-11-05,6900.0,0.1821,48,Paid,2028-11-08,631,Subprime
APP-000017,2022-11-04,6000.0,0.1263,24,Default,,609,Subprime
APP-000018,2023-11-22,8600.0,0.2029,36,Default,,675,Subprime
APP-000019,2023-04-19,6200.0,0.1443,36,Default,,614,Subprime
APP-000020,2023-01-05,5200.0,0.2697,48,Paid,2027-01-08,589,Subprime
APP-000021,2022-11-19,10900.0,0.2572,36,Paid,2025-11-21,733,Near-Prime
APP-000022,2023-12-11,7500.0,0.2102,36,Paid,2026-12-13,648,Subprime
APP-000023,2023-11-20,8100.0,0.2481,36,Paid,2026-11-22,663,Subprime
APP-000024,2023-09-17,5200.0,0.1832,36,Paid,2026-09-19,588,Subprime
APP-000025,2023-07-17,6900.0,0.2183,48,Paid,2027-07-20,632,Subprime
APP-000026,2023-10-02,8200.0,0.2539,48,Default,,665,Subprime
APP-000027,2022-08-20,5700.0,0.1923,36,Paid,2025-08-22,602,Subprime
APP-000028,2024-10-09,8800.0,0.1672,36,Paid,2027-10-12,678,Subprime
APP-000029,2024-12-29,6800.0,0.0948,24,Paid,2026-12-31,629,Subprime
APP-000030,2023-10-05,7400.0,0.1758,36,Paid,2026-10-07,645,Subprime
APP-000031,2024-02-10,6800.0,0.2212,36,Paid,2027-02-12,629,Subprime
APP-000032,2023-02-08,11700.0,0.2273,36,Paid,2026-02-10,752,Prime
APP-000033,2023-12-16,8000.0,0.2052,24,Paid,2025-12-17,659,Subprime
APP-000034,2024-12-06,5900.0,0.1529,48,Default,,607,Subprime
APP-000035,2024-04-30,9600.0,0.0812,36,Paid,2027-05-03,701,Near-Prime
APP-000036,2022-10-04,5600.0,0.1552,36,Paid,2025-10-06,598,Subprime
APP-000037,2023-03-30,8400.0,0.1648,24,Paid,2025-03-31,670,Subprime
APP-000038,2022-08-09,4100.0,0.1644,36,Paid,2025-08-11,562,Subprime
APP-000039,2023-09-30,5300.0,0.2109,48,Paid,2027-10-03,593,Subprime
APP-000040,2024-10-24,8400.0,0.2793,36,Paid,2027-10-27,669,Subprime
APP-000041,2023-07-14,9500.0,0.1862,36,Paid,2026-07-16,696,Near-Prime
APP-000042,2023-10-27,8300.0,0.1692,24,Paid,2025-10-28,668,Subprime
APP-000043,2024-02-14,7800.0,0.167,36,Paid,2027-02-16,654,Subprime
APP-000044,2024-08-06,7400.0,0.1862,48,Paid,2028-08-09,644,Subprime
APP-000045,2023-08-29,5000.0,0.1386,36,Paid,2026-08-31,586,Subprime
APP-000046,2024-07-04,6600.0,0.186,48,Paid,2028-07-07,624,Subprime
APP-000047,2023-11-09,7100.0,0.2025,48,Paid,2027-11-12,636,Subprime
APP-000048,2023-10-30,10100.0,0.1905,48,Paid,2027-11-02,712,Near-Prime
APP-000049,2025-01-29,8700.0,0.2029,48,Paid,2029-02-01,677,Subprime
APP-000050,2023-11-10,4500.0,0.2017,24,Paid,2025-11-11,571,Subprime
APP-000051,2023-04-10,8600.0,0.0914,48,Default,,676,Subprime
APP-000052,2023-05-27,7200.0,0.2118,24,Paid,2025-05-28,640,Subprime
APP-000053,2023-03-07,6600.0,0.1464,24,Paid,2025-03-08,626,Subprime
APP-000054,2025-06-03,9200.0,0.1252,24,Paid,2027-06-05,690,Near-Prime
APP-000055,2024-03-14,10100.0,0.1248,36,Paid,2027-03-17,711,Near-Prime
APP-000056,2025-05-21,9900.0,0.2017,36,Paid,2028-05-23,706,Near-Prime
APP-000057,2023-03-15,6300.0,0.1689,36,Default,,618,Subprime
APP-000058,2025-05-21,7400.0,0.0959,24,Paid,2027-05-23,644,Subprime
APP-000059,2025-01-28,8700.0,0.2039,36,Default,,676,Subprime
APP-000060,2023-09-14,10000.0,0.108,36,Paid,2026-09-16,708,Near-Prime
APP-000061,2023-05-14,7000.0,0.187,48,Paid,2027-05-17,636,Subprime
APP-000062,2023-07-22,7600.0,0.1919,36,Default,,650,Subprime
APP-000063,2024-01-06,5800.0,0.2243,24,Paid,2026-01-07,604,Subprime
APP-000064,2023-03-07,5600.0,0.2691,36,Paid,2026-03-09,600,Subprime
APP-000065,2022-10-17,9600.0,0.1118,36,Default,,700,Near-Prime
APP-000066,2023-01-29,10700.0,0.1774,36,Default,,727,Near-Prime
APP-000067,2023-12-29,7900.0,0.1662,36,Paid,2026-12-31,656,Subprime
APP-000068,2025-05-12,10000.0,0.2017,36,Paid,2028-05-14,710,Near-Prime
APP-000069,2023-03-13,8700.0,0.1908,36,Paid,2026-03-15,678,Subprime
APP-000070,2025-02-23,6700.0,0.1624,36,Paid,2028-02-26,627,Subprime
APP-000071,2023-12-13,8700.0,0.158,48,Paid,2027-12-16,678,Subprime
APP-000072,2024-10-06,11100.0,0.1242,24,Default,,736,Near-Prime
APP-000073,2025-03-13,7900.0,0.2294,48,Paid,2029-03-16,658,Subprime
APP-000074,2023-12-26,11100.0,0.203,36,Paid,2026-12-28,738,Near-Prime
APP-000075,2023-09-18,2800.0,0.2259,24,Paid,2025-09-19,529,Subprime
APP-000076,2023-04-18,9600.0,0.1645,48,Paid,2027-04-21,701,Near-Prime
APP-000077,2025-02-16,8200.0,0.1472,48,Paid,2029-02-19,664,Subprime
APP-000078,2024-08-20,7400.0,0.1261,36,Paid,2027-08-23,645,Subprime
APP-000079,2025-02-16,8200.0,0.1979,36,Paid,2028-02-19,664,Subprime
APP-000080,2025-02-19,4000.0,0.128,36,Paid,2028-02-22,560,Subprime
APP-000081,2024-01-18,7600.0,0.2724,36,Paid,2027-01-20,649,Subprime
APP-000082,2022-09-06,8700.0,0.1146,24,Paid,2024-09-07,677,Subprime
APP-000083,2024-10-01,11000.0,0.1937,48,Paid,2028-10-04,733,Near-Prime
APP-000084,2024-09-16,7000.0,0.2583,48,Paid,2028-09-19,634,Subprime
APP-000085,2024-09-20,6400.0,0.21,24,Paid,2026-09-22,619,Subprime
APP-000086,2022-11-21,7000.0,0.1888,48,Paid,2026-11-24,634,Subprime
APP-000087,2025-03-01,9800.0,0.1316,36,Paid,2028-03-03,705,Near-Prime
APP-000088,2023-05-06,8700.0,0.1109,24,Paid,2025-05-07,676,Subprime
APP-000089,2025-05-19,6900.0,0.2185,36,Default,,633,Subprime
APP-000090,2022-10-12,9000.0,0.2553,36,Paid,2025-10-14,685,Near-Prime
APP-000091,2024-02-15,8200.0,0.1581,48,Paid,2028-02-18,664,Subprime
APP-000092,2025-03-31,9900.0,0.123,48,Paid,2029-04-03,708,Near-Prime
APP-000093,2025-05-17,6600.0,0.0571,24,Paid,2027-05-19,624,Subprime
APP-000094,2024-01-13,7300.0,0.131,36,Paid,2027-01-15,643,Subprime
APP-000095,2024-12-27,7200.0,0.1743,48,Paid,2028-12-30,640,Subprime
APP-000096,2024-09-20,5100.0,0.26,48,Paid,2028-09-23,586,Subprime
APP-000097,2024-03-06,8600.0,0.2137,24,Paid,2026-03-08,674,Subprime
APP-000098,2025-04-08,8500.0,0.1953,36,Paid,2028-04-10,673,Subprime
APP-000099,2023-04-11,8000.0,0.16,48,Paid,2027-04-14,660,Subprime
APP-000100,2022-10-02,7500.0,0.1508,36,Paid,2025-10-04,648,Subprime
APP-000101,2022-11-08,5200.0,0.2503,36,Paid,2025-11-10,589,Subprime
APP-000102,2024-08-06,7200.0,0.19,48,Paid,2028-08-09,638,Subprime
APP-000103,2023-02-13,7300.0,0.0749,24,Paid,2025-02-14,642,Subprime
